Athlete,Event,Time,Placement,Meet,Date
Frye Max,500,1:04.35,2nd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Frye Max,60H,8.49,4th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Frye Max,4x400,3:18.77,2nd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Frye Max,60H,8.48,3rd  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Frye Max,60H,8.59,4th  (P),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Frye Max,4x400,3:20.47,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Frye Max,60H,8.36,2nd  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Frye Max,60H,8.42,2nd  (P),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Frye Max,4x400,3:18.88,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Frye Max,400,49.55,6th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Frye Max,60H,8.47,8th  (P),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Frye Max,400H,51.84,25th  (P),NCAA East Preliminary Round,May 24-26  2018
Frye Max,400H,52.11,2nd  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Frye Max,400H,52.33,2nd  (P),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Frye Max,4x400,3:12.72,5th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Frye Max,4x100,41.73,1st  (F),UMASS Pre-Conference,Apr 28  2018
Frye Max,110H,15.17,18th  (F),Virginia Challenge,Apr 20-21  2018
Frye Max,400H,53.23,9th  (F),Virginia Challenge,Apr 20-21  2018
Frye Max,4x400,3:13.65,11th  (F),Virginia Challenge,Apr 20-21  2018
Frye Max,110H,DNF, ,2018 Dartmouth Outdoor Invitational,Apr 13  2018
Frye Max,400H,53.28,2nd  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Frye Max,4x400,3:22.82,1st  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Frye Max,400H,54.54,3rd  (F),2018 Mark Young Invitational,Apr 7  2018
Frye Max,110H,DQ, ,FSU Relays (College),Mar 23  2018
Frye Max,400H,53.76,3rd  (F),FSU Relays (College),Mar 23  2018
Frye Max,4x400,3:14.67,6th  (F),FSU Relays (College),Mar 23  2018
Frye Max,110H,15.77,21st  (F),UCF Black and Gold Challenge,Mar 16-17  2018
Frye Max,60H,8.31,10th  (P),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Frye Max,4x400,3:16.51,4th  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Frye Max,60H,8.39,16th  (P),Fastrack National Invite,Feb 9  2018
Frye Max,60H,8.42,17th  (P),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Frye Max,4x400,3:16.68,3rd  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Frye Max,60H,15.09,8th  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Frye Max,60H,8.56,6th  (P),Dartmouth vs Columbia vs Yale,Jan 20  2018
Frye Max,4x400,3:20.42,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Frye Max,60H,8.44,4th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Frye Max,60H,8.45,5th  (P),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Frye Max,4x400,3:20.72,1st  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Frye Max,60H,8.67,12th  (P),2018 Dartmouth Relays - College & Open,Jan 7  2018
Frye Max,4x400,3:21.25,2nd  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Frye Max,400,51.13,1st  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Frye Max,60H,8.61,4th  (P),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Frye Max,4x400,3:21.84,1st  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Frye Max,60H,8.53,11th  (P),Boston University Season Opener,Dec 2  2017
Gabriel Michael,HT,53.94m,13th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Gabriel Michael,SP,14.91m,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Gabriel Michael,DT,40.24m,5th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Gabriel Michael,HT,55.94m,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Gabriel Michael,SP,15.05m,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Gabriel Michael,HT,58.76m,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Gibson Eric,1500,3:47.95,9th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Gibson Eric,1500,3:50.06,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Gibson Eric,5000,14:52.72,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Gibson Eric,Mile,4:19.35,165th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Gibson Eric,Mile,4:19.04,3rd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Gibson Eric,3000,DNF, ,2020 Dartmouth Indoor Invitational,Feb 8  2020
Gibson Eric,DMR,10:15.28,4th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Gibson Eric,3000,8:52.51,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Gibson Eric,Mile,4:28.73,15th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Hughes Ethan,110H,19.59,6th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Hughes Ethan,4x400,3:30.40,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Hughes Ethan,PV,3.90m,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Hughes Ethan,200,23.73,5th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Hughes Ethan,PV,4.25m,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Hughes Ethan,LJ,6.96mw,4th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Lewis Cade,4x100,DNF, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Lewis Cade,60,7.06,22nd  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Lewis Cade,200,23.03,17th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Lewis Cade,60,7.10,4th  (F),14th Giegengack Invitational,Feb 15  2020
Lewis Cade,60,7.07,4th  (P),14th Giegengack Invitational,Feb 15  2020
Lewis Cade,60,7.06,7th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Lewis Cade,60,7.06,6th  (P),2020 Dartmouth Indoor Invitational,Feb 8  2020
Lewis Cade,200,23.07,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Lewis Cade,60,7.14,21st  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Lewis Cade,200,23.73,167th  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Lewis Cade,60,7.18,13th  (P),Dartmouth vs Columbia vs Yale,Jan 18  2020
Lewis Cade,200,23.89,9th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Lewis Cade,60,7.32,11th  (P),2020 Dartmouth Relays - College & Open,Jan 10  2020
Lewis Cade,60,7.10,3rd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Lewis Cade,60,7.11,3rd  (P),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Lewis Cade,200,23.22,6th  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Lewis Cade,60,7.11,15th  (P),Crimson Opener,Dec 7  2019
Lingard Thomas,800,1:55.47,9th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Lingard Thomas,4x400,3:25.80,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Lingard Thomas,800,1:55.03,4th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Lingard Thomas,4x400,3:28.36,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Lingard Thomas,1000,2:28.06,4th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Lingard Thomas,1000,2:30.05,4th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Lingard Thomas,800,1:54.89,79th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Lingard Thomas,1000,2:27.23,1st  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Lingard Thomas,4x800,7:43.37,4th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Lingard Thomas,DMR,10:15.28,4th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Lingard Thomas,1000,2:33.05,8th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Lingard Thomas,800,1:57.88,5th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Lingard Thomas,4x400,3:33.61,5th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Lingard Thomas,Mile,4:23.43,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Lingard Thomas,4x400,3:26.09,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Lingard Thomas,5K,15:11.1,13th,17th Annual CCSU Mini Meet,Oct 25  2019
Lingard Thomas,8K,25:53.3,39th,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Lingard Thomas,5K,16:08.4,14th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Lingard Thomas,8K,25:48.6,16th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Lingard Thomas,800,1:58.05,20th  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Lingard Thomas,800,1:57.29,17th  (P),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Lingard Thomas,800,1:54.22,1st  (F),2019 UNH Pre-Conference Invitational,Apr 27  2019
Lingard Thomas,1500,4:09.66,32nd  (F),2019 Larry Ellis Invitational,Apr 20  2019
Lingard Thomas,800,1:55.69,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Lingard Thomas,1500,4:05.26,28th  (F),Sam Howell Invitational,Apr 6  2019
Lingard Thomas,800,1:57.07,16th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Lingard Thomas,1000,2:34.87,8th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Lingard Thomas,1000,2:28.53,8th  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Lingard Thomas,DMR (Yd),10:13.79,7th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Lingard Thomas,1000,2:27.76,11th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Lingard Thomas,Mile,DNF, ,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Lingard Thomas,1000,2:33.40,7th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Lingard Thomas,Mile,4:17.35,4th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Lingard Thomas,4x400,3:29.63,6th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Lingard Thomas,Mile,4:25.26,4th  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Lingard Thomas,4x400,3:28.09,5th  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Lingard Thomas,5K,15:48.8,39th,16th Annual CCSU Mini Meet,Oct 19  2018
Lingard Thomas,8K,26:35.7,88th,NEICAAA Cross Country Championship,Oct 6  2018
Lingard Thomas,5K,16:07.2,14th,Coast-to-Coast Battle in Beantown,Sep 21  2018
Lingard Thomas,5K,16:01.1,11th,2018 UNH XC Invitational,Sep 1  2018
Luck Connor,110H,17.19,5th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Luck Connor,4x400,3:30.40,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Luck Connor,PV,4.05m,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Luck Connor,100,11.48w,9th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Luck Connor,LJ,6.69mW,7th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Luck Connor,DT,31.78m,19th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Luck Connor,Hep,4606,8th ,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Luck Connor,1000,2:50.72,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Luck Connor,60,7.59,11th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Luck Connor,LJ,6.45m,8th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Luck Connor,SP,11.80m,4th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Luck Connor,HJ,1.76m,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Luck Connor,60H,9.40,11th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Luck Connor,PV,4.05m,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Luck Connor,60H,9.69,9th  (P),14th Giegengack Invitational,Feb 15  2020
Luck Connor,LJ,6.31m,8th  (F),14th Giegengack Invitational,Feb 15  2020
Luck Connor,SP,11.57m,9th  (F),14th Giegengack Invitational,Feb 15  2020
Luck Connor,60H,9.62,9th  (P),2020 Dartmouth Indoor Invitational,Feb 8  2020
Luck Connor,4x400,3:30.78,5th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Luck Connor,PV,3.85m,9th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Luck Connor,60H,9.46,14th  (P),2020 Dartmouth Relays - College & Open,Jan 10  2020
Luck Connor,LJ,6.25m,17th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Luck Connor,Hep,4529,3rd ,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Luck Connor,1000,2:52.00,2nd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Luck Connor,60,7.43,5th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Luck Connor,LJ,6.28m,4th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Luck Connor,SP,11.76m,3rd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Luck Connor,HJ,1.78m,3rd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Luck Connor,60H,9.79,5th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Luck Connor,PV,4.00m,1st,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Luck Connor,60H,9.81,5th  (F),Crimson Opener,Dec 7  2019
Luck Connor,SP,11.00m,9th  (F),Crimson Opener,Dec 7  2019
Mass Brian,5000,14:52.62,68th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Mass Brian,3000,8:35.17,1st  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Mass Brian,3000,9:10.73,7th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Mass Brian,3000,8:52.59,15th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Mass Brian,5M,27:09.7,81st,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
Mass Brian,8K,25:28.7,21st,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Mass Brian,8K,25:55.1,89th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Mass Brian,8K,25:42.2,13th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Mass Brian,5K,16:00.4,50th,16th Annual CCSU Mini Meet,Oct 19  2018
Mass Brian,8K,27:18.0,124th,NEICAAA Cross Country Championship,Oct 6  2018
Mass Brian,5K,16:39.4,43rd,Coast-to-Coast Battle in Beantown,Sep 21  2018
Mass Brian,8K,25:46.6,16th,2018 Maribel Sanchez Souther XC Invitational,Sep 8  2018
Mass Brian,5K,15:57.2,8th,2018 UNH XC Invitational,Sep 1  2018
Mass Brian,5000,16:16.32,6th  (F),UMASS Pre-Conference,Apr 28  2018
Mass Brian,2Mile,10:05.75,12th  (F),George Davis Invitational,Apr 21  2018
Mass Brian,5000,15:33.12,7th  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Mass Brian,1500,4:19.06,18th  (F),2018 Mark Young Invitational,Apr 7  2018
Mass Brian,3000,9:25.40,9th  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Mass Brian,3000,9:23.47,12th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Mass Brian,5K,16:06.4,56th,15th Annual CCSU Mini Meet,Oct 20  2017
Mass Brian,8K,28:15.7,75th,NEICAAA Cross Country Championship,Oct 7  2017
Mass Brian,5K,16:56.4,49th,Coast-To-Coast Battle in Beantown,Sep 22  2017
Mass Brian,8K,27:32.2,13th,2017 Maribel Sanchez Souther XC Invitational,Sep 9  2017
Matejka Ben,|10,000|,29:47.07,4th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Matejka Ben,|10,000|,30:50.36,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Matejka Ben,5000,14:40.32,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Matejka Ben,5000,14:53.00,19th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Matejka Ben,5000,14:34.68,38th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Matejka Ben,3000,8:36.11,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Matejka Ben,10K,30:30.9,88th,NCAA Division I Northeast Region Cross Country Championships,Nov 15  2019
Matejka Ben,5M,25:51.8,40th,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
Matejka Ben,8K,24:57.3,113rd,Pre-National Invitational,Oct 19  2019
Matejka Ben,8K,24:15.1,57th,Lehigh Paul Short Run (College),Oct 5  2019
Matejka Ben,8K,25:04.1,37th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Matejka Ben,8K,24:56.7,3rd,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Matejka Ben,3000S,9:37.71,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Matejka Ben,5000,14:48.79,2nd  (F),University of MA Minuteman Invitational,Apr 6  2019
Matejka Ben,8K,25:47.7,49th,Ivy League Cross Country Championships,Oct 27  2018
Matejka Ben,8.369K,26:08.5,76th,Penn State Nationals Open,Oct 12  2018
Matejka Ben,8K,25:32.9,75th,Coast-to-Coast Battle in Beantown,Sep 21  2018
Matejka Ben,8K,25:10.6,10th,2018 Maribel Sanchez Souther XC Invitational,Sep 8  2018
Matejka Ben,5M,26:36.3,61st,Ivy League Heptagonal Cross Country Championships,Oct 27  2017
Matejka Ben,8K,25:25.0,214th,adidas DI Pre Nationals,Oct 14  2017
Matejka Ben,8K,25:49.6,85th,Coast-To-Coast Battle in Beantown,Sep 22  2017
Matejka Ben,8K,25:24.9,4th,2017 Maribel Sanchez Souther XC Invitational,Sep 9  2017
Mayes Corbin,4x400,3:30.40,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Mayes Corbin,PV,4.50m,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Mayes Corbin,PV,4.40m,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Mayes Corbin,PV,4.80m,6th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Mayes Corbin,PV,4.65m,2nd  (F),14th Giegengack Invitational,Feb 15  2020
Mayes Corbin,PV,4.75m,1st  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Mayes Corbin,PV,4.40m,10th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Mayes Corbin,4x400,3:30.76,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Mayes Corbin,PV,4.55m,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Mayes Corbin,PV,NH, ,2020 Dartmouth Relays - College & Open,Jan 10  2020
Mayes Corbin,PV,4.50m,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Mayes Corbin,PV,4.50m,3rd  (F),Crimson Opener,Dec 7  2019
Mayes Corbin,PV,4.25m,2nd  (F),Jay Carisella Coaches Invitational,Apr 20  2019
Mayes Corbin,PV,4.25m,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Mayes Corbin,PV,NH, ,University of MA Minuteman Invitational,Apr 6  2019
Mayes Corbin,PV,4.65m,8th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Mayes Corbin,PV,4.50m,13th  (F),Fastrack National Invite,Feb 8  2019
Mayes Corbin,PV,4.55m,11th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Mayes Corbin,PV,4.60m,5th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Mayes Corbin,PV,NH, ,2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Mayes Corbin,PV,4.40m,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Mayes Corbin,PV,4.20m,10th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Mayes Corbin,PV,4.55m,8th  (F),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Mayes Corbin,PV,NH, ,Ivy League Outdoor Track & Field Championships,May 5-6  2018
Mayes Corbin,PV,4.51m,6th  (F),Virginia Challenge,Apr 20-21  2018
Mayes Corbin,PV,4.70m,2nd  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Mayes Corbin,PV,4.55m,4th  (F),2018 Mark Young Invitational,Apr 7  2018
Mayes Corbin,PV,4.45m,6th  (F),FSU Relays (College),Mar 23  2018
Mayes Corbin,PV,4.40m,16th  (F),UCF Black and Gold Challenge,Mar 16-17  2018
Mayes Corbin,PV,4.65m,9th  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Mayes Corbin,PV,4.65m,9th  (F),Fastrack National Invite,Feb 9  2018
Mayes Corbin,PV,4.70m,8th  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Mayes Corbin,PV,4.55m,4th  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Mayes Corbin,PV,4.25m,3rd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Mayes Corbin,PV,4.40m,6th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Mayes Corbin,PV,4.40m,2nd  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Mayes Corbin,PV,NH, ,Boston University Season Opener,Dec 2  2017
Moore David,1500,DNF, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Moore David,5000,DNF, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Morton Sam,|10,000|,DNF, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Morton Sam,3000,8:18.33,28th  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Morton Sam,Mile,4:15.25,4th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Morton Sam,10K,29:26.1,23rd,NCAA Division I Northeast Region Cross Country Championships,Nov 15  2019
Morton Sam,5M,25:49.5,39th,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
Morton Sam,8K,24:38.7,77th,Pre-National Invitational,Oct 19  2019
Morton Sam,8K,24:13.9,54th,Lehigh Paul Short Run (College),Oct 5  2019
Morton Sam,8K,25:26.4,61st,Coast-to-Coast Battle in Beantown,Sep 20  2019
Morton Sam,8K,25:23.2,9th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Morton Sam,1500,3:57.52,13th  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Morton Sam,5000,14:47.46,16th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Morton Sam,5000,14:43.56,7th  (F),2019 Larry Ellis Invitational,Apr 20  2019
Morton Sam,5000,14:38.55,8th  (F),Sam Howell Invitational,Apr 6  2019
Morton Sam,3000,8:37.54,105th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Morton Sam,Mile,4:18.52,56th  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Morton Sam,3000,8:45.73,12th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Morton Sam,10K,34:30.0,64th,NCAA Division I Northeast Region Cross Country Championships,Nov 9  2018
Morton Sam,8K,25:19.4,26th,Ivy League Cross Country Championships,Oct 27  2018
Morton Sam,8K,25:31.4,17th,NEICAAA Cross Country Championship,Oct 6  2018
Morton Sam,8K,25:43.4,94th,Coast-to-Coast Battle in Beantown,Sep 21  2018
Morton Sam,8K,25:41.0,15th,2018 Maribel Sanchez Souther XC Invitational,Sep 8  2018
Morton Sam,1500,4:03.30,9th  (F),2018 Battle Road Twilight Meet 2,May 19  2018
Morton Sam,5000,15:40.84,3rd  (F),UMASS Pre-Conference,Apr 28  2018
Morton Sam,2Mile,9:28.21,1st  (F),George Davis Invitational,Apr 21  2018
Morton Sam,1500,4:10.46,11th  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Morton Sam,1500,4:07.12,10th  (F),2018 Mark Young Invitational,Apr 7  2018
Morton Sam,5K,15:27.9,12th,15th Annual CCSU Mini Meet,Oct 20  2017
Morton Sam,8K,26:49.1,16th,NEICAAA Cross Country Championship,Oct 7  2017
Morton Sam,5K,16:11.4,10th,Coast-To-Coast Battle in Beantown,Sep 22  2017
Myers Christian,5000,15:32.27,7th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Myers Christian,3000,8:40.79,124th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Myers Christian,3000,8:51.68,13th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Norris Jason,800,1:59.41,16th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Norris Jason,4x400,3:25.80,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Norris Jason,1500,4:07.90,13th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Norris Jason,4x400,3:28.36,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
O'Brien Patrick,5M,26:49.8,75th,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
O'Brien Patrick,8K,25:05.8,128th,Pre-National Invitational,Oct 19  2019
O'Brien Patrick,8K,24:51.2,143rd,Lehigh Paul Short Run (College),Oct 5  2019
O'Brien Patrick,8K,dnf, ,Coast-to-Coast Battle in Beantown,Sep 20  2019
O'Brien Patrick,10K,34:03.6,45th,NCAA Division I Northeast Region Cross Country Championships,Nov 9  2018
O'Brien Patrick,8K,25:14.1,22nd,Ivy League Cross Country Championships,Oct 27  2018
O'Brien Patrick,8.369K,25:39.4,32nd,Penn State Nationals Open,Oct 12  2018
O'Brien Patrick,8K,25:03.7,42nd,Coast-to-Coast Battle in Beantown,Sep 21  2018
O'Brien Patrick,8K,24:44.7,1st,2018 Maribel Sanchez Souther XC Invitational,Sep 8  2018
O'Brien Patrick,5000,DNF, ,NEICAAA Outdoor Track & Field Championships,May 11-12  2018
O'Brien Patrick,5000,DNF, ,Ivy League Outdoor Track & Field Championships,May 5-6  2018
O'Brien Patrick,5000,14:45.30,16th  (F),2018 Larry Ellis Invitational,Apr 20-21  2018
O'Brien Patrick,5000,14:37.61,2nd  (F),Sam Howell Invitational,Apr 6  2018
O'Brien Patrick,3000,8:40.16,102nd  (F),Boston University David Hemery Valentine Invitational,Feb 9-10  2018
