Athlete,Event,Time,Placement,Meet,Date
Gragg Arianna,SP,9.49m,4th,Catamount Combined Events Challenge,Apr 13-14  2019
Gragg Arianna,200,27.43,3rd,Catamount Combined Events Challenge,Apr 13-14  2019
Gragg Arianna,LJ,4.98m,2nd,Catamount Combined Events Challenge,Apr 13-14  2019
Gragg Arianna,JT,30.70m,1st,Catamount Combined Events Challenge,Apr 13-14  2019
Gragg Arianna,800,2:21.49,1st,Catamount Combined Events Challenge,Apr 13-14  2019
Gragg Arianna,100H,18.51,17th  (F),University of MA Minuteman Invitational,Apr 6  2019
Gragg Arianna,4x400,4:09.69,6th  (F),University of MA Minuteman Invitational,Apr 6  2019
Gragg Arianna,LJ,5.27m,7th  (F),University of MA Minuteman Invitational,Apr 6  2019
Gragg Arianna,200,27.97,60th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Gragg Arianna,100H,16.96,30th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Gragg Arianna,JT,31.71m,14th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Gragg Arianna,200,27.90,58th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Gragg Arianna,100H,DNF, ,Yellow Jacket Invitational,Mar 15-16  2019
Gragg Arianna,JT,30.10m,18th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Gragg Arianna,Pent,3261,7th ,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Gragg Arianna,60H,10.22,9th,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Gragg Arianna,HJ,1.48m,8th,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Gragg Arianna,SP,9.31m,7th,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Gragg Arianna,LJ,5.50m,2nd,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Gragg Arianna,800,2:21.31,1st,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Gragg Arianna,500,1:15.50,16th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Gragg Arianna,60H,10.23,23rd  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Gragg Arianna,Pent,3261,5th ,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Gragg Arianna,60H,10.38,11th,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Gragg Arianna,HJ,1.54m,5th,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Gragg Arianna,SP,8.82m,11th,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Gragg Arianna,LJ,5.32m,1st,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Gragg Arianna,800,2:17.92,1st,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Gragg Arianna,500,1:17.56,6th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Gragg Arianna,60H,10.16,10th  (P),Dartmouth-Yale-Columbia,Jan 18  2019
Gragg Arianna,LJ,5.14m,8th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Gragg Arianna,60H,10.36,12th  (P),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Gragg Arianna,4x400,4:00.16,2nd  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Gragg Arianna,LJ,5.01m,10th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Gragg Arianna,Pent,3072,4th ,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Gragg Arianna,60H,10.23,10th,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Gragg Arianna,HJ,1.44m,9th,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Gragg Arianna,SP,8.87m,9th,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Gragg Arianna,LJ,5.01m,5th,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Gragg Arianna,800,2:19.58,1st,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Gragg Arianna,60H,10.27,33rd  (P),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Gragg Arianna,SP,8.53m,28th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Hansen Macenna,5000,19:05.12,18th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Hansen Macenna,5000,18:34.61,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Hansen Macenna,3000,10:37.33,8th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Hansen Macenna,3000,10:51.03,11th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Hansen Macenna,4x400,4:30.61,10th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Hansen Macenna,3K,11:13.9,75th,17th Annual CCSU Mini Meet,Oct 25  2019
Hansen Macenna,5K,19:50.3,35th,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Hansen Macenna,5K,20:21.1,110th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Hansen Macenna,6K,24:38.3,25th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Hirschfeld Anya,1500,4:30.21,2nd  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Hirschfeld Anya,1500,4:36.65,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Hirschfeld Anya,4x400,4:11.33,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Hirschfeld Anya,1500,4:37.86,4th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Hirschfeld Anya,4x400,4:06.31,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Hirschfeld Anya,1000,2:53.83,11th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Hirschfeld Anya,4x800,9:03.66,4th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Hirschfeld Anya,1000,2:55.77,21st  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Hirschfeld Anya,800,2:16.04,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Hirschfeld Anya,4x800,9:23.29,7th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Hirschfeld Anya,DMR,12:43.89,14th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Hirschfeld Anya,4x800,9:24.98,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Hirschfeld Anya,Mile,5:13.11,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Hirschfeld Anya,6K,23:27.0,73rd,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
Hirschfeld Anya,5K,19:04.2,10th,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Hirschfeld Anya,5K,19:09.9,81st,Coast-to-Coast Battle in Beantown,Sep 20  2019
Hirschfeld Anya,6K,23:04.5,9th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Krafian Anoush,200,26.21,6th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Krafian Anoush,100H,15.07,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Krafian Anoush,HJ,1.61m,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Krafian Anoush,Pent,3370,6th ,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Krafian Anoush,60H,9.09,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Krafian Anoush,HJ,1.55m,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Krafian Anoush,SP,10.10m,3rd,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Krafian Anoush,LJ,5.18m,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Krafian Anoush,800,2:32.95,8th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Krafian Anoush,LJ,5.18m,9th  (F),14th Giegengack Invitational,Feb 15  2020
Krafian Anoush,SP,9.55m,13th  (F),14th Giegengack Invitational,Feb 15  2020
Krafian Anoush,60H,9.10,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Krafian Anoush,60H,9.09,2nd  (P),2020 Dartmouth Indoor Invitational,Feb 8  2020
Krafian Anoush,4x400,3:58.92,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Krafian Anoush,HJ,1.54m,5th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Krafian Anoush,60H,9.31,20th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Krafian Anoush,4x400,3:55.58,6th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Krafian Anoush,HJ,NH, ,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Krafian Anoush,60H,9.23,4th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Krafian Anoush,60H,9.16,4th  (P),Dartmouth vs Columbia vs Yale,Jan 18  2020
Krafian Anoush,4x400,4:06.62,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Krafian Anoush,HJ,1.50m,10th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Krafian Anoush,60H,9.43,6th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Krafian Anoush,60H,9.23,4th  (P),2020 Dartmouth Relays - College & Open,Jan 10  2020
Krafian Anoush,4x400,4:12.62,7th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Krafian Anoush,LJ,5.02m,6th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Krafian Anoush,SP,9.60m,17th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Krafian Anoush,Pent,3412,1st ,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Krafian Anoush,60H,9.08,1st,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Krafian Anoush,HJ,1.61m,1st,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Krafian Anoush,SP,10.23m,2nd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Krafian Anoush,LJ,5.09m,2nd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Krafian Anoush,800,2:34.07,3rd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Krafian Anoush,60H,9.21,11th  (P),Crimson Opener,Dec 7  2019
Krafian Anoush,SP,10.07m,15th  (F),Crimson Opener,Dec 7  2019
Krafian Anoush,Hep,4216,8th ,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Krafian Anoush,100H,15.29,6th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Krafian Anoush,HJ,1.50m,6th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Krafian Anoush,SP,10.56m,5th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Krafian Anoush,200,26.39,5th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Krafian Anoush,LJ,4.98m,8th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Krafian Anoush,JT,25.60m,7th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Krafian Anoush,800,2:45.26,9th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Krafian Anoush,Hep,4345,11th ,Virginia Challenge,Apr 19-20  2019
Krafian Anoush,100H,15.36,14th,Virginia Challenge,Apr 19-20  2019
Krafian Anoush,HJ,1.50m,13th,Virginia Challenge,Apr 19-20  2019
Krafian Anoush,SP,9.99m,14th,Virginia Challenge,Apr 19-20  2019
Krafian Anoush,200,27.00,11th,Virginia Challenge,Apr 19-20  2019
Krafian Anoush,LJ,5.15m,12th,Virginia Challenge,Apr 19-20  2019
Krafian Anoush,JT,27.72m,12th,Virginia Challenge,Apr 19-20  2019
Krafian Anoush,800,2:33.25,10th,Virginia Challenge,Apr 19-20  2019
Krafian Anoush,400,1:01.23,11th  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Krafian Anoush,100H,15.29w,4th  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Krafian Anoush,SP,10.03m,6th  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Krafian Anoush,JT,26.02m,3rd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Krafian Anoush,100H,17.68,13th  (F),University of MA Minuteman Invitational,Apr 6  2019
Krafian Anoush,4x400,4:09.69,6th  (F),University of MA Minuteman Invitational,Apr 6  2019
Krafian Anoush,LJ,5.13m,11th  (F),University of MA Minuteman Invitational,Apr 6  2019
Krafian Anoush,JT,25.97m,11th  (F),University of MA Minuteman Invitational,Apr 6  2019
Krafian Anoush,200,26.96,56th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Krafian Anoush,100H,15.08w,21st  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Krafian Anoush,JT,25.36m,19th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Krafian Anoush,200,27.04,46th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Krafian Anoush,100H,16.77,34th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Krafian Anoush,JT,25.51m,19th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Krafian Anoush,Pent,3539,4th ,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Krafian Anoush,60H,8.99,4th,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Krafian Anoush,HJ,1.60m,5th,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Krafian Anoush,SP,10.18m,4th,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Krafian Anoush,LJ,5.40m,4th,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Krafian Anoush,800,2:31.08,8th,Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Krafian Anoush,60H,9.49,38th  (P),Fastrack National Invite,Feb 8  2019
Krafian Anoush,LJ,5.06m,15th  (F),Fastrack National Invite,Feb 8  2019
Krafian Anoush,Pent,3079,9th ,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Krafian Anoush,60H,9.66,7th,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Krafian Anoush,HJ,1.48m,8th,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Krafian Anoush,SP,9.54m,7th,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Krafian Anoush,LJ,4.94m,9th,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Krafian Anoush,800,2:32.61,8th,NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Krafian Anoush,60H,9.23,5th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Krafian Anoush,60H,9.40,5th  (P),Dartmouth-Yale-Columbia,Jan 18  2019
Krafian Anoush,4x400,4:04.90,6th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Krafian Anoush,HJ,NH, ,Dartmouth-Yale-Columbia,Jan 18  2019
Krafian Anoush,SP,9.50m,9th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Krafian Anoush,60H,9.07,3rd  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Krafian Anoush,60H,9.29,4th  (P),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Krafian Anoush,4x400,4:00.16,2nd  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Krafian Anoush,LJ,5.20m,7th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Krafian Anoush,Pent,3445,2nd ,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Krafian Anoush,60H,8.97,1st,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Krafian Anoush,HJ,1.59m,3rd,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Krafian Anoush,SP,10.30m,2nd,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Krafian Anoush,LJ,5.20m,2nd,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Krafian Anoush,800,2:34.17,5th,Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Krafian Anoush,60H,9.34,15th  (P),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Krafian Anoush,SP,9.75m,25th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Landon Camille,HJ,1.70m,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Landon Camille,HJ,1.73m,3rd  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Landon Camille,HJ,1.69m,2nd  (F),14th Giegengack Invitational,Feb 15  2020
Landon Camille,HJ,1.64m,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Landon Camille,HJ,1.71m,4th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Landon Camille,HJ,1.65m,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Landon Camille,HJ,1.69m,1st  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Landon Camille,HJ,1.65m,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Landon Camille,HJ,1.68m,4th  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Landon Camille,HJ,1.70m,4th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Landon Camille,HJ,1.70m,5th  (F),Virginia Challenge,Apr 19-20  2019
Landon Camille,HJ,1.68m,1st  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Landon Camille,HJ,1.65m,1st  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Landon Camille,HJ,1.61m,5th  (F),University of MA Minuteman Invitational,Apr 6  2019
Landon Camille,HJ,1.62m,6th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Landon Camille,HJ,1.70m,5th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Landon Camille,HJ,1.70m,4th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Landon Camille,HJ,1.65m,5th  (F),Fastrack National Invite,Feb 8  2019
Landon Camille,HJ,1.71m,1st  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Landon Camille,HJ,1.67m,2nd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Landon Camille,HJ,1.70m,3rd  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Landon Camille,HJ,1.73m,3rd  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Landon Camille,HJ,1.70m,3rd  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Landon Camille,HJ,1.65m,5th  (F),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Landon Camille,HJ,NH, ,Ivy League Outdoor Track & Field Championships,May 5-6  2018
Landon Camille,HJ,1.69m,3rd  (F),Virginia Challenge,Apr 20-21  2018
Landon Camille,HJ,1.65m,1st  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Landon Camille,HJ,1.68m,2nd  (F),2018 Mark Young Invitational,Apr 7  2018
Landon Camille,HJ,1.64m,4th  (F),FSU Relays (College),Mar 23  2018
Landon Camille,HJ,1.77m,3rd  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Landon Camille,HJ,1.70m,4th  (F),Fastrack National Invite,Feb 9  2018
Landon Camille,HJ,1.74m,3rd  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Landon Camille,HJ,1.60m,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Landon Camille,HJ,1.69m,3rd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Landon Camille,LJ,5.09m,8th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Landon Camille,HJ,1.65m,4th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Landon Camille,HJ,1.66m,2nd  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Landon Camille,200,27.72,29th  (F),Boston University Season Opener,Dec 2  2017
Landon Camille,HJ,1.65m,3rd  (F),Boston University Season Opener,Dec 2  2017
Laskoski Kathryn,400,58.04,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Laskoski Kathryn,4x400,3:56.56,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Laskoski Kathryn,100,12.60,5th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Laskoski Kathryn,200,25.86w,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Laskoski Kathryn,500,1:16.55,6th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Laskoski Kathryn,500,1:15.78,6th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Laskoski Kathryn,500,1:16.83,16th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Laskoski Kathryn,4x400,3:49.59,11th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Laskoski Kathryn,500,1:18.98,1st  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Laskoski Kathryn,4x400,3:58.92,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Laskoski Kathryn,4x400,3:55.58,6th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Laskoski Kathryn,500,1:16.60,11th  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Laskoski Kathryn,500,1:17.61,4th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Laskoski Kathryn,4x400,4:00.48,4th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Laskoski Kathryn,400,58.96,2nd  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Laskoski Kathryn,4x400,3:58.77,1st  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Laskoski Kathryn,400,58.95,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Laskoski Kathryn,4x400,4:01.45,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Laskoski Kathryn,400,56.95,5th  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Laskoski Kathryn,400,56.62,4th  (P),New England Outdoor Championship - NEICAAA,May 10-11  2019
Laskoski Kathryn,400,56.31,11th  (P),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Laskoski Kathryn,4x400,3:49.69,7th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Laskoski Kathryn,400,56.11,7th  (F),2019 Larry Ellis Invitational,Apr 20  2019
Laskoski Kathryn,400,57.65,3rd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Laskoski Kathryn,4x400,3:52.39,2nd  (F),University of MA Minuteman Invitational,Apr 6  2019
Laskoski Kathryn,200,26.05,46th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Laskoski Kathryn,400,57.71,10th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Laskoski Kathryn,500,1:14.04,5th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Laskoski Kathryn,500,1:15.05,7th  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Laskoski Kathryn,4x440 yd,3:46.77,4th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Laskoski Kathryn,500,1:14.92,12th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Laskoski Kathryn,400,56.90,6th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Laskoski Kathryn,400,57.12,5th  (P),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Laskoski Kathryn,4x400,3:48.85,2nd  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Laskoski Kathryn,400,56.69,8th  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Laskoski Kathryn,500,1:15.98,4th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Laskoski Kathryn,4x400,3:50.42,2nd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Laskoski Kathryn,400,58.51,2nd  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Laskoski Kathryn,4x400,3:55.03,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Laskoski Kathryn,500,1:16.42,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Laskoski Kathryn,4x400,3:53.34,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Laskoski Kathryn,400,58.35,3rd  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Laskoski Kathryn,400,59.20,25th  (P),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Laskoski Kathryn,4x400,3:46.50,7th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Laskoski Kathryn,400,59.13,5th  (F),UMASS Pre-Conference,Apr 28  2018
Laskoski Kathryn,200,27.10w,14th  (F),George Davis Invitational,Apr 21  2018
Laskoski Kathryn,400,58.67,1st  (F),George Davis Invitational,Apr 21  2018
Laskoski Kathryn,400,58.75,3rd  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Laskoski Kathryn,4x400,3:56.37,1st  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Laskoski Kathryn,400,1:00.09,5th  (F),2018 Mark Young Invitational,Apr 7  2018
Laskoski Kathryn,400,58.97,12th  (F),FSU Relays (College),Mar 23  2018
Laskoski Kathryn,4x400,3:55.47,7th  (F),FSU Relays (College),Mar 23  2018
Laskoski Kathryn,400,59.48,16th  (P),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Laskoski Kathryn,DMR,11:40.44,4th  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Laskoski Kathryn,200,25.99,7th  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Laskoski Kathryn,4x400,3:57.27,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Laskoski Kathryn,400,57.81,1st  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Laskoski Kathryn,4x400,4:06.09,2nd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Laskoski Kathryn,400,58.41,1st  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Laskoski Kathryn,4x400,3:59.87,1st  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Laskoski Kathryn,400,58.15,1st  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Laskoski Kathryn,4x400,3:59.64,1st  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Laskoski Kathryn,400,57.01,1st  (F),Boston University Season Opener,Dec 2  2017
Ludwikowski Rachel,5000,17:39.90,8th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Ludwikowski Rachel,5000,17:16.59,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Ludwikowski Rachel,5000,18:30.08,5th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Ludwikowski Rachel,3000,9:34.12,38th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Ludwikowski Rachel,5000,16:36.24,3rd  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Ludwikowski Rachel,3000,9:50.38,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Ludwikowski Rachel,6K,20:21.8,31st,NCAA Division I Northeast Region Cross Country Championships,Nov 15  2019
Ludwikowski Rachel,6K,22:45.6,53rd,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
Ludwikowski Rachel,5K,18:10.2,11th,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Ludwikowski Rachel,6K,20:58.3,62nd,Lehigh Paul Short Run (College),Oct 5  2019
Ludwikowski Rachel,5K,17:51.9,19th,Coast-to-Coast Battle in Beantown,Sep 20  2019
